"행정구역","2021년08월_계_총인구수","2021년08월_계_연령구간인구수","2021년08월_계_0세","2021년08월_계_1세","2021년08월_계_2세","2021년08월_계_3세","2021년08월_계_4세","2021년08월_계_5세","2021년08월_계_6세","2021년08월_계_7세","2021년08월_계_8세","2021년08월_계_9세","2021년08월_계_10세","2021년08월_계_11세","2021년08월_계_12세","2021년08월_계_13세","2021년08월_계_14세","2021년08월_계_15세","2021년08월_계_16세","2021년08월_계_17세","2021년08월_계_18세","2021년08월_계_19세","2021년08월_계_20세","2021년08월_계_21세","2021년08월_계_22세","2021년08월_계_23세","2021년08월_계_24세","2021년08월_계_25세","2021년08월_계_26세","2021년08월_계_27세","2021년08월_계_28세","2021년08월_계_29세","2021년08월_계_30세","2021년08월_계_31세","2021년08월_계_32세","2021년08월_계_33세","2021년08월_계_34세","2021년08월_계_35세","2021년08월_계_36세","2021년08월_계_37세","2021년08월_계_38세","2021년08월_계_39세","2021년08월_계_40세","2021년08월_계_41세","2021년08월_계_42세","2021년08월_계_43세","2021년08월_계_44세","2021년08월_계_45세","2021년08월_계_46세","2021년08월_계_47세","2021년08월_계_48세","2021년08월_계_49세","2021년08월_계_50세","2021년08월_계_51세","2021년08월_계_52세","2021년08월_계_53세","2021년08월_계_54세","2021년08월_계_55세","2021년08월_계_56세","2021년08월_계_57세","2021년08월_계_58세","2021년08월_계_59세","2021년08월_계_60세","2021년08월_계_61세","2021년08월_계_62세","2021년08월_계_63세","2021년08월_계_64세","2021년08월_계_65세","2021년08월_계_66세","2021년08월_계_67세","2021년08월_계_68세","2021년08월_계_69세","2021년08월_계_70세","2021년08월_계_71세","2021년08월_계_72세","2021년08월_계_73세","2021년08월_계_74세","2021년08월_계_75세","2021년08월_계_76세","2021년08월_계_77세","2021년08월_계_78세","2021년08월_계_79세","2021년08월_계_80세","2021년08월_계_81세","2021년08월_계_82세","2021년08월_계_83세","2021년08월_계_84세","2021년08월_계_85세","2021년08월_계_86세","2021년08월_계_87세","2021년08월_계_88세","2021년08월_계_89세","2021년08월_계_90세","2021년08월_계_91세","2021년08월_계_92세","2021년08월_계_93세","2021년08월_계_94세","2021년08월_계_95세","2021년08월_계_96세","2021년08월_계_97세","2021년08월_계_98세","2021년08월_계_99세","2021년08월_계_100세 이상"
"전국  (0000000000)","51,669,716","51,669,716","257,499","283,694","312,494","341,766","377,415","427,561","445,094","440,111","459,512","482,039","490,354","455,800","454,600","485,709","475,272","444,217","445,228","484,335","482,792","515,422","592,665","632,015","621,141","651,975","676,448","694,822","698,489","710,672","722,430","720,719","665,311","649,252","630,831","613,577","620,160","639,553","646,869","691,574","766,180","829,882","839,068","842,515","788,332","752,453","756,922","751,911","805,962","879,075","889,195","887,360","946,434","896,951","937,006","887,571","834,447","826,013","834,116","763,977","859,927","812,126","949,880","898,387","803,739","744,097","728,565","665,609","684,347","553,028","511,415","532,933","399,401","435,644","432,181","423,598","411,501","288,353","319,618","308,267","336,349","348,134","280,660","253,876","242,451","212,787","190,812","168,829","147,906","120,960","98,676","82,117","61,444","51,952","42,552","32,035","23,136","15,359","11,276","7,591","7,789","4,687","10,935"
"서울특별시  (1100000000)","9,550,227","9,550,227","44,089","46,362","50,261","53,250","58,004","65,651","68,040","67,050","70,218","73,523","74,438","70,653","71,005","77,302","76,381","72,125","72,988","80,415","80,229","87,820","104,482","114,905","119,772","132,616","143,357","154,415","159,387","166,891","171,877","171,591","158,059","151,173","145,739","138,374","136,460","136,586","134,926","139,976","148,213","156,736","156,981","156,011","144,582","135,440","137,913","136,197","145,151","157,429","160,484","163,102","172,231","162,207","165,401","154,290","143,661","140,388","144,108","135,183","148,825","139,042","160,735","156,736","142,754","134,535","132,715","122,547","128,348","104,096","96,908","98,617","73,839","83,059","81,666","80,780","79,900","57,632","60,825","57,158","60,048","61,406","48,862","42,478","39,465","34,273","30,005","26,041","22,393","17,865","14,736","12,258","9,261","8,021","6,845","5,229","3,798","2,559","1,818","1,360","1,356","819","2,516"
"부산광역시  (2600000000)","3,359,527","3,359,527","14,236","16,009","17,708","20,244","22,508","25,598","26,430","26,218","26,785","28,054","28,369","25,661","25,497","27,012","26,213","24,618","24,986","27,589","27,754","29,513","35,460","38,878","39,034","41,860","43,650","44,687","44,033","44,534","44,625","44,361","40,575","40,156","38,433","36,778","36,720","37,769","38,702","41,920","46,857","51,076","53,206","53,602","49,322","46,261","45,610","44,837","49,198","53,388","54,164","54,647","58,108","56,118","58,631","56,390","53,793","53,520","52,876","50,250","58,977","57,360","67,961","65,138","59,655","56,711","57,069","53,261","55,290","45,030","42,521","43,452","34,384","36,151","35,767","34,859","32,178","21,812","25,286","23,977","25,880","25,046","20,872","18,367","16,901","14,109","12,532","10,687","9,268","7,347","5,932","4,944","3,652","2,917","2,547","2,019","1,348","839","647","416","375","260","752"
"대구광역시  (2700000000)","2,393,626","2,393,626","10,437","12,187","13,465","15,278","17,145","19,530","20,295","19,980","20,736","22,064","21,905","20,502","20,548","22,129","21,871","20,671","21,079","23,297","23,462","24,572","28,728","31,293","29,829","31,599","32,727","32,743","32,113","31,755","31,660","31,573","28,499","28,365","27,133","25,386","26,068","26,894","26,829","29,004","32,900","35,808","37,084","37,075","35,038","33,557","34,602","34,891","37,686","41,081","41,991","42,345","44,547","43,473","44,900","44,231","41,437","40,588","40,640","37,590","41,785","40,290","45,861","42,765","38,765","33,595","34,790","31,857","32,179","26,000","26,457","26,920","20,062","21,030","22,297","20,550","18,749","11,948","14,158","15,128","16,343","16,087","13,005","11,826","10,999","9,577","8,495","7,532","6,528","5,332","4,187","3,527","2,574","1,927","1,566","1,280","903","526","409","251","223","154","374"
"인천광역시  (2800000000)","2,938,429","2,938,429","14,537","16,369","18,434","19,449","21,741","24,558","25,869","25,192","26,447","27,640","28,653","26,282","26,397","27,846","27,479","25,571","25,264","27,497","27,492","29,090","33,182","35,434","35,035","37,262","39,304","40,650","41,538","42,890","43,989","43,972","40,731","38,961","37,431","35,873","36,017","37,820","38,316","40,706","45,403","49,291","50,284","50,304","46,508","44,714","44,103","43,322","47,387","50,538","51,616","51,443","54,493","51,914","54,189","51,768","48,710","48,887","50,761","46,661","52,389","48,985","55,428","52,534","46,141","42,594","40,298","35,968","36,617","28,701","26,097","26,814","18,611","21,478","21,238","20,762","20,810","14,551","15,155","14,469","15,609","15,804","12,677","11,231","10,951","9,574","8,417","7,682","6,678","5,351","4,602","3,823","2,943","2,452","2,085","1,515","1,206","769","634","388","392","243","549"
"광주광역시  (2900000000)","1,441,970","1,441,970","7,677","8,077","8,992","10,191","11,281","12,996","13,398","13,614","14,297","14,986","15,325","14,468","14,403","15,516","15,592","14,461","14,509","15,949","16,327","17,074","19,776","21,062","20,623","21,321","21,596","21,438","21,083","20,464","20,219","19,885","17,694","17,026","16,197","15,893","16,251","17,037","17,312","19,224","21,669","23,915","22,950","23,871","23,027","21,847","22,409","22,157","23,390","25,957","25,885","25,481","27,189","25,315","25,721","25,076","22,874","23,381","21,933","20,393","22,409","19,995","23,126","22,796","19,990","18,346","17,337","15,266","16,062","12,695","11,677","12,612","10,749","11,043","11,178","10,605","10,639","7,665","8,111","7,283","8,001","8,855","6,770","6,059","5,497","5,031","4,425","3,675","3,347","2,880","2,176","1,763","1,431","1,340","963","665","538","353","250","136","209","110","238"
"대전광역시  (3000000000)","1,454,679","1,454,679","7,304","7,774","8,773","9,650","11,104","12,229","12,860","12,687","13,411","13,750","14,393","13,317","13,370","14,515","14,459","13,526","13,674","15,246","14,942","15,942","18,490","19,747","20,182","21,098","22,028","21,916","21,915","21,760","21,829","21,442","19,663","18,870","18,163","17,702","17,535","18,006","18,032","18,783","20,880","22,783","23,235","22,917","22,029","21,424","21,781","21,559","23,082","25,585","25,794","25,247","27,248","25,617","27,630","25,572","23,138","21,852","23,227","20,229","22,669","22,354","26,382","24,299","21,237","19,634","19,502","17,897","18,167","14,722","12,940","13,559","10,101","11,491","11,012","10,351","9,780","6,967","7,808","7,711","8,053","8,594","6,527","5,739","5,773","5,150","4,462","3,982","3,487","2,894","2,355","1,952","1,410","1,190","1,013","796","557","347","238","185","173","91","212"
"울산광역시  (3100000000)","1,124,459","1,124,459","6,004","6,762","7,417","8,307","9,461","10,607","11,215","11,066","11,354","11,715","11,877","10,956","10,955","11,581","11,279","10,310","10,173","11,087","10,894","11,295","12,849","13,840","13,015","13,662","14,155","14,235","14,319","14,385","14,709","14,714","13,744","13,778","13,443","12,956","13,311","13,826","13,991","15,420","17,365","19,002","19,309","19,630","17,954","17,263","17,039","16,478","17,958","19,222","19,680","20,021","21,485","20,794","22,186","21,551","20,753","21,035","20,564","18,464","20,523","19,266","22,571","20,037","18,115","16,434","15,713","14,151","14,154","11,435","10,520","10,331","8,094","7,956","7,851","7,477","6,578","4,210","4,996","4,628","5,302","4,831","3,793","3,591","3,163","2,750","2,447","2,122","1,852","1,594","1,295","1,020","776","574","533","384","287","200","159","99","91","51","85"
"세종특별자치시  (3600000000)","365,309","365,309","3,395","3,588","4,050","4,371","4,733","5,257","5,404","5,232","5,394","5,527","5,525","5,059","5,068","5,087","4,714","4,306","3,929","3,954","3,540","3,381","3,552","3,641","3,332","3,379","3,420","3,690","3,788","4,051","4,496","4,836","4,871","5,132","5,170","5,484","5,836","5,946","6,274","6,617","7,437","8,397","8,202","8,198","7,736","7,079","7,029","6,519","6,822","6,952","6,530","6,176","6,348","5,503","5,582","4,996","4,497","4,136","4,304","3,791","4,170","3,841","4,685","4,165","3,818","3,418","3,360","3,147","3,195","2,531","2,125","2,279","1,648","1,901","1,869","1,578","1,556","1,101","1,175","1,189","1,241","1,335","1,104","939","954","843","743","744","673","571","480","372","297","246","236","160","122","58","51","31","36","22","37"
"경기도  (4100000000)","13,530,519","13,530,519","75,815","83,537","91,922","100,217","110,479","125,121","130,203","127,384","132,300","138,751","140,400","129,974","129,486","137,851","133,815","123,862","123,027","132,742","132,773","143,116","160,539","168,776","166,035","173,965","180,948","186,235","188,322","191,487","195,983","196,944","183,640","178,280","175,535","172,504","174,299","180,640","183,464","195,847","217,935","236,622","240,050","239,174","223,335","212,750","213,681","211,353","223,583","242,822","243,662","244,678","257,574","242,131","250,865","233,680","218,704","214,728","217,886","198,040","218,484","202,521","232,729","216,453","192,175","177,039","166,622","151,052","153,243","121,844","111,572","114,307","80,747","89,910","88,997","88,902","88,220","63,637","68,229","64,262","67,766","70,458","57,670","51,384","48,880","43,521","39,081","34,151","30,043","24,479","19,968","16,610","12,414","10,814","8,894","6,678","4,808","3,339","2,436","1,730","1,636","1,008","2,335"
