"행정구역","2021년08월_계_총인구수","2021년08월_계_연령구간인구수","2021년08월_계_0~9세","2021년08월_계_10~19세","2021년08월_계_20~29세","2021년08월_계_30~39세","2021년08월_계_40~49세","2021년08월_계_50~59세","2021년08월_계_60~69세","2021년08월_계_70~79세","2021년08월_계_80~89세","2021년08월_계_90~99세","2021년08월_계_100세 이상"
"서울특별시  (1100000000)","9,550,227","9,550,227","596,448","763,356","1,439,293","1,446,242","1,493,290","1,505,336","1,277,991","696,313","288,376","41,066","2,516"
"서울특별시 종로구 (1111000000)","145,551","145,551","7,155","10,587","23,034","19,549","21,228","24,917","20,258","11,789","6,028","952","54"
"서울특별시 종로구 청운효자동(1111051500)","12,014","12,014","765","1,142","1,582","1,591","2,098","1,910","1,384","940","521","74","7"
"서울특별시 종로구 사직동(1111053000)","9,360","9,360","550","669","1,227","1,464","1,456","1,512","1,206","726","461","85","4"
"서울특별시 종로구 삼청동(1111054000)","2,475","2,475","99","175","317","326","339","386","414","245","141","27","6"
"서울특별시 종로구 부암동(1111055000)","9,661","9,661","513","878","1,264","1,202","1,587","1,674","1,328","756","381","73","5"
"서울특별시 종로구 평창동(1111056000)","18,132","18,132","1,154","1,585","2,383","2,189","2,679","3,234","2,648","1,316","771","165","8"
"서울특별시 종로구 무악동(1111057000)","8,298","8,298","669","990","909","918","1,417","1,411","1,031","589","318","42","4"
"서울특별시 종로구 교남동(1111058000)","10,107","10,107","838","806","1,223","1,609","1,781","1,563","1,185","724","333","43","2"
"서울특별시 종로구 가회동(1111060000)","4,148","4,148","184","326","483","545","708","706","573","397","190","34","2"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","7,199","7,199","188","217","915","922","935","1,322","1,409","824","398","63","6"
"서울특별시 종로구 종로5.6가동(1111063000)","5,110","5,110","100","237","1,067","736","570","898","757","497","219","29","0"
"서울특별시 종로구 이화동(1111064000)","7,315","7,315","227","381","1,616","1,244","911","1,099","920","567","308","40","2"
"서울특별시 종로구 혜화동(1111065000)","16,499","16,499","626","1,331","4,391","2,044","2,148","2,348","1,661","1,181","668","98","3"
"서울특별시 종로구 창신제1동(1111067000)","4,925","4,925","134","217","597","541","587","1,033","1,028","519","236","33","0"
"서울특별시 종로구 창신제2동(1111068000)","8,021","8,021","210","456","1,141","896","1,006","1,796","1,388","769","315","41","3"
"서울특별시 종로구 창신제3동(1111069000)","6,699","6,699","364","488","932","937","910","1,247","1,042","509","232","37","1"
"서울특별시 종로구 숭인제1동(1111070000)","5,897","5,897","264","351","774","800","875","1,129","931","506","236","31","0"
"서울특별시 종로구 숭인제2동(1111071000)","9,691","9,691","270","338","2,213","1,585","1,221","1,649","1,353","724","300","37","1"
"서울특별시 중구 (1114000000)","122,852","122,852","6,419","6,602","18,344","19,915","17,569","20,153","17,851","10,300","4,832","807","60"
"서울특별시 중구 소공동(1114052000)","2,223","2,223","160","120","258","491","497","307","242","99","40","8","1"
"서울특별시 중구 회현동(1114054000)","4,848","4,848","189","209","494","537","656","925","1,036","524","224","53","1"
"서울특별시 중구 명동(1114055000)","2,854","2,854","81","130","374","399","418","478","502","307","137","24","4"
"서울특별시 중구 필동(1114057000)","4,043","4,043","176","185","742","665","460","592","617","356","189","52","9"
"서울특별시 중구 장충동(1114058000)","4,588","4,588","177","264","1,199","672","571","589","534","362","192","27","1"
