사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
44409,1호선,1,서울역,483,11,7963,5533,10871,31479,31643,73669,49003,149249,36383,94786,35273,50691,41477,42942,48720,46909,50740,45564,45280,41791,56988,44398,63619,45452,100634,54687,152659,61655,72119,38909,47289,25080,51106,21490,27974,13638,7756,4968,21,444,1,1,0,0,0,0
44409,1호선,10,동묘앞,84,3,2861,918,3286,4614,5128,8004,8066,18779,7541,15213,9130,17602,13369,21823,18112,23065,21526,24178,23292,23028,26282,20769,26379,15856,23275,12159,19551,9210,8704,5827,5031,3835,4235,3839,2678,3706,577,1759,4,827,0,0,0,0,0,0
44409,1호선,2,시청,6,0,1597,4399,2727,17957,5971,53669,6884,141150,7541,60972,8328,24743,12240,22388,13561,20191,15934,18708,20552,15439,26382,13396,31233,11545,59551,11039,119064,11317,41635,5636,31787,3793,27796,3501,13739,2205,2462,822,3,72,0,2,0,0,0,0
44409,1호선,3,종각,63,0,1995,3773,2818,19672,5069,78825,7714,178759,9593,103040,13541,46680,21172,40741,25849,36122,31651,35718,37840,30122,45887,24143,50443,22553,99804,22931,164560,24229,66132,11811,53338,5331,52175,3551,24776,2276,3340,951,11,112,0,0,0,0,0,0
44409,1호선,4,종로3가,190,22,3058,3544,3061,12338,3988,23040,7050,59866,10981,64722,18020,54340,30224,52616,37148,49851,41607,49204,43964,44340,49172,36973,53316,30066,64274,23793,85046,23400,48731,11226,34790,4850,36333,3834,20598,2789,2893,1345,20,316,0,0,0,0,0,0
44409,1호선,5,종로5가,28,1,1458,3099,2265,13936,4526,34390,6620,85361,11025,53440,18027,43701,26246,42808,31246,40504,34369,36734,39739,35799,44089,30038,48235,24652,63291,20032,82371,15996,38884,9049,23306,4214,19554,3305,9855,2349,1551,1150,4,330,0,0,0,0,0,0
44409,1호선,6,동대문,415,11,10380,1815,7880,5352,12037,9885,16637,19783,15671,19192,13922,17298,15675,19346,18244,19492,19566,18295,19690,17508,21258,16833,21199,15587,20147,15110,20332,16304,13464,15398,10336,10356,9669,8870,6514,7191,1633,5983,7,1043,2,2,0,2,0,0
44409,1호선,7,신설동,247,6,6828,2721,7333,9771,14821,21765,20523,52910,14881,28274,13551,18729,15578,16195,16289,16020,17701,15974,17358,14880,19104,15583,24448,15734,35024,17790,48482,22904,18413,15802,11610,10231,9764,9428,5955,7268,1352,3747,15,390,0,0,0,0,0,0
44409,1호선,8,제기동,306,3,4564,2141,7698,8751,19090,18277,27212,36659,20778,33365,25282,36345,31685,37097,34606,33524,33777,32291,33410,33172,34564,31676,33607,26307,34654,22022,32579,23729,14456,16381,8806,10036,7332,9529,4831,7297,1444,3233,7,236,0,1,0,0,0,0
44409,1호선,9,청량리(서울시립대입구),830,11,9572,4680,12938,17982,30365,15247,38057,31707,26357,28294,27413,33895,31108,35000,34154,35184,34398,34738,34922,36893,37771,37828,43269,34571,41915,34517,37532,41585,19429,27551,14062,15132,10426,14510,5337,10872,1251,4411,11,425,0,0,0,1,0,0
44409,2호선,11,시청,10,0,717,1478,1547,13492,4041,55434,6019,162559,7690,66548,10502,20383,15913,17744,15458,18845,18291,18160,22588,15337,26255,13913,29182,10717,67875,11060,137078,11140,43954,5477,27911,3122,23620,3189,11023,2069,1676,870,1,28,0,0,0,1,0,0
44409,2호선,12,을지로입구,53,0,1624,1710,2645,23541,7248,97921,11743,244837,12405,111317,14383,49845,21944,43626,27133,36847,33112,35260,38877,31305,46835,26515,56773,25083,117844,26119,207093,28481,81080,15214,72237,8949,41678,8256,20327,6214,3086,1972,0,777,0,0,0,0,0,0
44409,2호선,13,을지로3가,7,0,701,1525,1756,15193,4366,57415,7506,127862,8340,55350,9482,24877,13424,21927,15659,20452,17652,21449,21530,19157,24338,16201,29661,15784,68231,16201,114329,17509,43446,8873,28341,4862,29151,4021,16870,3056,2718,989,0,89,0,0,0,0,0,0
44409,2호선,14,을지로4가,3,0,828,1233,1512,11682,2861,28862,5274,67253,5551,35261,7786,19766,10987,18078,13415,15820,14299,15056,16601,13909,19669,12046,23648,10280,42299,8638,60285,8139,26101,4345,12952,2572,9733,2354,6038,1835,1159,708,0,55,0,0,0,0,0,0
44409,2호선,15,동대문역사문화공원(DDP),199,0,4474,1019,3606,6402,5419,17295,7743,38984,8159,25427,7948,20217,11139,20863,13000,19379,14154,19361,16286,18788,20920,16556,26541,14742,29860,14637,34201,16852,19666,16453,14975,10423,17012,8292,9174,6442,2424,3592,0,205,0,1,0,0,0,0
44409,2호선,16,신당,28,5,5565,1035,10120,8309,21813,15889,34403,29864,21502,19678,15780,16979,16025,16934,17126,17165,17931,18206,18205,18124,18998,18399,20973,22467,25198,27478,28688,38987,18157,24572,12937,15005,12194,14112,7833,11817,1739,4635,3,46,0,0,0,0,0,0
44409,2호선,17,상왕십리,118,0,4842,494,11883,5446,31494,10323,48560,31353,28018,16820,17658,11868,16248,11017,17603,12913,16305,13826,15343,14087,16114,15250,16660,19081,20369,27433,24813,44590,14377,29618,9979,18185,9316,16927,5847,14398,1186,5875,2,9,0,0,0,0,0,0
44409,2호선,18,왕십리(성동구청),619,3,5741,765,8350,5116,20872,10600,36546,21991,23532,15065,16553,12394,16903,12647,18244,14953,18635,16124,17905,16014,19748,16672,23451,18647,28009,24997,31617,39967,17600,24074,17121,14302,19110,13039,14335,12005,3022,4879,2,35,0,0,0,0,0,0
44409,2호선,19,한양대,1,0,765,248,1940,4606,4088,8590,6725,24255,5004,23497,4418,12152,5922,6905,6854,7645,6549,7770,6083,6906,7341,5400,12821,5350,21751,5747,20651,7425,9294,4598,6468,3646,6212,3704,5413,3080,1775,1372,1,2,0,0,0,0,0,0
44409,2호선,20,뚝섬,35,5,3225,1775,6887,12851,15349,32144,21013,114667,14520,70346,11622,30448,12295,23157,14898,25182,17529,26656,20627,22255,23844,22362,31623,23174,53064,26265,106320,33339,50691,19444,31198,10935,27889,9871,15186,8060,2445,3257,2,36,0,0,0,0,0,0
44409,2호선,21,성수,53,1,5228,3388,8531,26156,19300,67921,25413,228228,19608,124935,18064,43564,18990,34046,21760,38859,26625,40793,30408,35976,36737,35380,47348,34869,94949,37538,202624,44454,86392,26092,51808,13856,47034,11619,25564,9718,3447,5278,6,1224,0,1,0,0,0,0
44409,2호선,22,건대입구,196,11,11906,1823,17740,16525,44926,22367,75246,50003,50976,42276,30103,34578,29047,37862,32938,46039,34726,51079,35787,49191,40735,53067,48094,59290,61521,75155,73939,111060,50043,71316,51677,41238,60740,40830,38481,32156,5895,13207,11,1461,0,0,0,0,0,0
44409,2호선,23,구의(광진구청),71,0,12388,869,22435,8612,56806,13930,93748,36215,55052,21151,29559,17718,25003,17326,25871,19696,25217,21629,22900,23135,22580,29636,24610,33120,29041,46874,37517,81783,18394,57856,14091,37122,13916,34996,10893,28727,3379,9784,3,688,0,0,0,0,0,0
44409,2호선,24,강변(동서울터미널),21,1,7462,1767,23222,17932,65321,21845,87254,40468,61572,33872,44119,31623,42222,29221,40107,32254,38230,34966,35838,37067,37419,41878,39031,47934,43071,63050,49073,95448,35502,64418,27719,39851,24136,33370,14957,29367,3732,8248,3,192,0,0,0,0,0,0
44409,2호선,25,잠실나루,7,0,2696,1684,9733,9403,30628,19935,35892,32435,23335,21398,18015,14581,18116,13865,17900,15994,16764,15888,17612,15097,18941,14148,22652,15145,27544,20199,25013,34440,11928,24908,8856,13934,6712,13378,4386,12124,1186,3673,3,17,0,0,0,0,0,0
44409,2호선,26,잠실(송파구청),115,31,9601,3926,39179,34017,94913,58968,128005,127170,94434,105002,62117,73135,62380,75784,69535,76272,72565,81816,74008,79965,81928,82677,97611,94383,131826,121434,161633,177981,104738,116568,109713,69950,88119,64727,49106,53391,7825,17073,5,56,0,0,0,1,0,0
44409,2호선,27,잠실새내,17,1,3736,783,13929,8421,42624,12987,54558,24850,34568,27137,23692,21043,23323,21301,25275,24123,26368,25946,23832,26764,26427,29604,27730,32517,29516,43628,34786,66666,24079,44676,21910,24206,21957,20714,16532,18944,3029,5993,0,203,0,0,0,0,0,0
44409,2호선,28,종합운동장,4,0,1480,807,4776,5745,13282,9553,18039,15658,12957,9387,8104,6623,7931,5916,8326,6879,7912,7079,7187,7197,8180,8298,10341,9039,11069,12565,13058,20230,6485,13806,5135,8116,5044,8156,3870,7384,697,2266,5,151,0,0,0,0,0,0
44409,2호선,29,삼성(무역센터),159,5,3913,4588,6329,36821,12936,106997,16442,252453,17475,172539,19307,74147,27522,57140,32738,52080,41447,57271,52942,48610,65435,42076,82322,38031,152613,37560,230299,39720,117148,22957,91086,12471,69921,10586,31898,7613,4348,2552,0,1036,0,0,0,0,0,0
44409,2호선,30,선릉,31,1,3035,5979,8842,36776,17142,95870,25458,230691,23985,178766,28538,77570,37028,53837,43792,49640,49725,52406,60108,44722,74524,39002,98799,34893,153833,38184,245318,41072,116743,25164,69492,14791,67774,13723,50072,11318,6987,4100,2,48,0,0,0,0,0,0
44409,2호선,31,역삼,18,3,2850,7114,7221,34348,12613,113759,20328,273619,18956,226437,19320,91488,26751,54551,31751,47675,37986,50360,46862,42000,60953,38112,75968,33842,162182,34564,239209,38812,120972,24690,66771,16029,60382,13097,35770,10301,6676,4088,0,6,1,1,1,1,0,0
44409,2호선,32,강남,64,4,4993,10411,14177,45059,31783,129595,50239,269877,40611,274355,44108,129744,59573,99120,75942,96644,88926,115153,97964,94620,120268,86770,135621,83690,214990,96689,302398,125891,178242,68747,138452,34635,157847,27783,105997,21970,12509,8377,5,15,2,1,0,0,0,0
44409,2호선,33,교대(법원.검찰청),29,0,2143,6589,11006,22451,20056,50258,26967,134527,23043,121163,22462,58532,28180,46701,31279,43571,36490,47353,42865,42682,47405,38783,52627,37144,84189,41115,127229,52515,57186,31873,41438,17586,44108,15541,31053,13851,4744,4555,0,34,0,0,0,0,0,0
44409,2호선,34,서초,22,0,1143,3964,6978,17513,12412,41453,19868,103900,20048,69284,15987,28110,18921,20042,19508,18039,22126,21027,25581,17499,29795,16245,34104,15859,60003,16953,86612,18730,34936,12504,21932,8129,21462,7761,13820,6770,2670,1967,0,6,0,1,0,0,0,0
44409,2호선,35,방배,6,0,2257,2612,7865,11078,18619,23728,25066,59218,20082,38979,14744,18001,14980,14990,17070,15674,17697,17860,17789,16595,19517,17093,23665,19073,34451,24272,54434,32381,22577,22059,15379,13878,15569,13565,10948,11901,2121,3587,0,5,0,0,0,0,0,0
44409,2호선,36,사당,50,0,10513,3179,22530,23451,58906,34026,83246,52649,58207,39234,38104,33300,35191,37179,40812,39240,39698,40480,38852,39769,40429,46462,44776,55494,56808,80672,79171,119322,46073,79608,40884,49449,42009,47690,28774,40903,5941,14628,1,756,0,1,0,0,0,0
44409,2호선,37,낙성대(강감찬),33,1,10545,1844,23072,7888,65157,15651,106007,33282,68462,27311,36569,21341,32358,20485,34006,23440,32598,24973,29727,27012,29839,30825,31038,36206,35684,52311,40875,90524,22486,73532,17363,46423,17503,44464,11862,41108,3253,14427,3,854,0,0,0,0,0,0
44409,2호선,38,서울대입구(관악구청),4228,8,26357,2197,38068,12559,104693,25638,150090,56193,101046,53816,57012,44454,52661,41783,56338,46040,56788,51518,52478,51832,55446,55156,59965,69012,67898,93312,76260,154764,46893,121426,38875,70955,40283,66924,29761,61513,6170,22130,2,4107,0,0,0,0,0,0
44409,2호선,39,봉천,44,3,14691,1442,25702,6157,67841,10349,100844,23320,59880,18123,32474,17998,28006,18249,29088,19551,27837,22344,24097,23430,23301,29831,24545,34637,25417,47489,28855,79530,16268,62832,12780,38119,12388,36924,8458,29537,2063,10882,0,84,0,0,0,0,0,0
44409,2호선,40,신림,234,10,37299,3265,68898,17600,173383,30834,267128,56459,158053,46598,84264,40165,70112,41587,75252,48408,69669,56439,62118,62828,61087,73964,66875,92767,72880,128276,74469,227563,45967,182832,39377,113584,40159,112778,29976,92790,6404,39177,0,15,0,0,0,0,0,0
44409,2호선,41,신대방,174,1,23641,1848,33197,8323,75798,15976,110766,27543,67607,19374,37279,16481,29676,17164,29970,19804,28198,21159,25240,25382,24480,34166,25750,38279,28749,55310,35016,88020,19472,69621,13671,46735,11070,51504,7730,41164,2227,16448,0,0,0,0,0,0,0,0
44409,2호선,42,구로디지털단지,380,8,36602,5316,46959,19541,113543,75822,153411,217289,94958,121092,53565,49152,49532,40367,53152,41277,53504,47102,49681,45744,51171,54528,59025,63440,108111,91237,192537,143783,90513,107520,51419,67092,42175,69767,25985,57480,5079,21926,2,10,0,0,0,0,0,0
44409,2호선,43,대림(구로구청),522,18,31576,3347,27294,11047,56280,21433,78997,47958,51235,30880,29966,25690,25532,25335,27209,25019,26486,25956,24102,27516,25255,34181,28266,37250,35798,50811,45035,63308,23070,44629,15484,31979,12572,42729,7978,31124,2172,10513,4,293,0,0,0,0,0,0
44409,2호선,44,신도림,3355,15,32032,4377,43362,14687,109140,33575,111452,94272,71871,53778,49030,50497,47056,47109,53478,49063,53963,51816,52490,51488,53760,56877,59765,64296,75767,85524,107444,140118,59510,97759,48176,56601,47831,55446,25759,49252,5234,21562,7,3896,0,0,0,0,0,0
44409,2호선,45,문래,2,0,3046,2230,11283,9893,33903,30716,37655,105322,22069,47411,15650,18857,15746,16988,17957,18849,18085,19210,18980,18375,20533,18678,25914,21275,48325,27079,89356,45434,30636,31095,20253,16057,21718,14419,11378,11647,2308,4443,1,66,0,0,0,0,0,0
44409,2호선,46,영등포구청,43,0,5106,2934,10921,12449,32538,32778,39427,106126,26202,48867,20689,23770,21205,19602,21956,20915,22268,22696,23399,21197,25410,21484,30654,22889,48268,27895,91651,44717,31922,28838,20966,16797,19575,16125,11188,12543,2507,5768,2,75,0,1,0,0,0,0
44409,2호선,47,당산,36,1,5898,2989,13961,11089,39038,24673,45744,61953,27784,31834,18679,16355,18303,15236,18895,16580,18470,17988,17432,17792,18309,20282,20297,23821,32216,36000,50403,62192,22614,40594,16816,25357,17025,24595,11786,18866,2580,7776,1,108,0,0,0,0,0,0
