"행정구역","2018년_계_총인구수","2018년_계_연령구간인구수","2018년_계_0세","2018년_계_1세","2018년_계_2세","2018년_계_3세","2018년_계_4세","2018년_계_5세","2018년_계_6세","2018년_계_7세","2018년_계_8세","2018년_계_9세","2018년_계_10세","2018년_계_11세","2018년_계_12세","2018년_계_13세","2018년_계_14세","2018년_계_15세","2018년_계_16세","2018년_계_17세","2018년_계_18세","2018년_계_19세","2018년_계_20세","2018년_계_21세","2018년_계_22세","2018년_계_23세","2018년_계_24세","2018년_계_25세","2018년_계_26세","2018년_계_27세","2018년_계_28세","2018년_계_29세","2018년_계_30세","2018년_계_31세","2018년_계_32세","2018년_계_33세","2018년_계_34세","2018년_계_35세","2018년_계_36세","2018년_계_37세","2018년_계_38세","2018년_계_39세","2018년_계_40세","2018년_계_41세","2018년_계_42세","2018년_계_43세","2018년_계_44세","2018년_계_45세","2018년_계_46세","2018년_계_47세","2018년_계_48세","2018년_계_49세","2018년_계_50세","2018년_계_51세","2018년_계_52세","2018년_계_53세","2018년_계_54세","2018년_계_55세","2018년_계_56세","2018년_계_57세","2018년_계_58세","2018년_계_59세","2018년_계_60세","2018년_계_61세","2018년_계_62세","2018년_계_63세","2018년_계_64세","2018년_계_65세","2018년_계_66세","2018년_계_67세","2018년_계_68세","2018년_계_69세","2018년_계_70세","2018년_계_71세","2018년_계_72세","2018년_계_73세","2018년_계_74세","2018년_계_75세","2018년_계_76세","2018년_계_77세","2018년_계_78세","2018년_계_79세","2018년_계_80세","2018년_계_81세","2018년_계_82세","2018년_계_83세","2018년_계_84세","2018년_계_85세","2018년_계_86세","2018년_계_87세","2018년_계_88세","2018년_계_89세","2018년_계_90세","2018년_계_91세","2018년_계_92세","2018년_계_93세","2018년_계_94세","2018년_계_95세","2018년_계_96세","2018년_계_97세","2018년_계_98세","2018년_계_99세","2018년_계_100세 이상"
"서울특별시  (1100000000)","9,765,623","9,765,623","54,719","60,805","67,262","71,433","70,251","69,728","76,957","73,813","74,748","70,652","75,180","79,733","74,074","71,698","79,681","82,773","83,012","92,791","108,139","108,040","114,742","122,499","129,725","141,389","150,560","156,527","165,963","165,471","153,068","149,846","149,513","144,453","144,811","146,839","144,733","158,638","167,463","167,486","163,901","160,933","136,161","147,034","144,348","147,229","159,565","165,782","169,226","178,517","172,444","170,068","166,145","155,294","142,798","151,714","151,001","144,221","155,417","159,935","165,629","154,800","144,310","143,745","130,874","138,260","116,760","103,128","111,910","78,386","87,224","87,818","86,655","88,400","71,356","62,630","63,177","61,641","72,519","57,783","48,945","47,719","41,292","36,763","32,399","29,710","24,311","20,073","17,581","13,961","11,997","10,782","8,836","7,080","5,004","3,893","2,991","2,895","2,092","1,507","1,178","818","5,843"
"서울특별시 종로구 (1111000000)","153,065","153,065","609","715","776","893","880","865","1,015","909","1,010","916","1,005","1,128","1,096","982","1,105","1,166","1,195","1,355","1,559","1,792","1,929","2,127","2,228","2,426","2,466","2,616","2,652","2,649","2,447","2,225","2,212","2,138","2,044","2,042","1,912","2,145","2,096","2,276","2,164","2,202","1,824","1,967","2,014","2,096","2,358","2,513","2,632","2,902","2,797","2,746","2,641","2,565","2,396","2,566","2,619","2,433","2,639","2,681","2,726","2,478","2,305","2,317","2,133","2,272","1,906","1,672","1,817","1,257","1,435","1,467","1,425","1,560","1,248","1,165","1,171","1,230","1,433","1,198","1,034","1,053","890","730","723","651","544","447","378","344","276","233","207","166","134","97","87","69","73","51","39","37","231"
"서울특별시 중구 (1114000000)","125,725","125,725","662","751","847","831","802","788","815","732","705","664","678","751","602","565","686","675","743","801","1,047","1,145","1,269","1,432","1,531","1,719","1,915","2,017","2,278","2,149","2,004","1,953","2,120","1,971","2,024","1,979","1,998","2,177","2,212","2,161","2,136","1,992","1,677","1,795","1,714","1,703","1,895","1,847","1,964","2,190","2,052","2,131","2,182","2,062","1,828","1,964","2,049","2,051","2,168","2,287","2,309","2,124","2,019","2,074","1,944","1,913","1,706","1,441","1,574","1,077","1,264","1,264","1,221","1,283","990","965","964","968","1,153","986","748","786","696","573","583","493","425","389","294","265","230","225","169","146","91","64","63","55","41","34","33","18","179"
"서울특별시 용산구 (1117000000)","228,999","228,999","1,258","1,339","1,469","1,596","1,492","1,501","1,589","1,499","1,504","1,459","1,454","1,623","1,453","1,423","1,579","1,576","1,694","1,887","2,162","2,298","2,371","2,593","2,608","3,058","3,256","3,357","3,762","3,965","3,815","3,730","3,817","3,625","3,669","3,698","3,659","3,928","4,153","4,023","4,054","3,659","3,188","3,339","3,278","3,372","3,681","3,776","4,082","4,237","4,070","4,107","3,917","3,605","3,318","3,565","3,506","3,511","3,667","3,700","3,835","3,623","3,313","3,383","3,108","3,216","2,735","2,386","2,495","1,799","2,064","2,038","2,077","2,084","1,700","1,546","1,615","1,640","1,952","1,648","1,361","1,372","1,300","1,165","1,068","897","782","648","567","489","425","392","302","238","180","149","131","129","95","66","41","34","337"
"서울특별시 성동구 (1120000000)","308,221","308,221","2,232","2,345","2,541","2,581","2,425","2,392","2,332","2,207","2,101","1,921","2,124","2,216","1,871","1,895","2,055","2,013","2,205","2,434","2,884","3,272","3,533","3,876","4,255","4,538","4,962","5,106","5,463","5,328","4,998","4,838","5,077","4,866","4,936","5,310","5,059","5,557","5,821","5,826","5,587","5,320","4,456","4,675","4,533","4,526","4,796","5,187","5,017","5,397","5,340","5,304","5,218","4,881","4,493","4,994","4,882","4,643","5,057","5,101","5,351","4,829","4,550","4,432","4,027","4,079","3,522","3,009","3,225","2,280","2,534","2,621","2,441","2,648","2,167","1,868","1,982","1,904","2,311","1,805","1,558","1,482","1,314","1,221","1,072","876","817","611","538","418","355","313","271","189","144","107","78","83","61","45","33","19","229"
"서울특별시 광진구 (1121500000)","355,559","355,559","2,024","2,085","2,259","2,423","2,331","2,287","2,568","2,404","2,498","2,303","2,465","2,709","2,565","2,427","2,659","2,828","2,742","3,129","3,804","3,906","4,382","4,754","5,281","5,833","6,421","6,890","7,309","7,210","6,608","6,568","6,412","6,081","5,982","5,983","5,623","6,220","6,365","6,091","5,912","5,778","4,716","5,331","5,027","5,246","5,528","5,781","5,988","6,350","6,185","6,012","6,109","5,747","5,329","5,583","5,365","5,241","5,634","5,884","5,966","5,569","5,197","5,096","4,476","4,750","3,898","3,416","3,832","2,510","2,778","2,726","2,872","2,829","2,291","2,021","2,056","2,022","2,297","1,837","1,586","1,536","1,379","1,170","991","934","760","628","558","436","353","341","261","230","133","108","93","76","67","56","35","24","190"
"서울특별시 동대문구 (1123000000)","348,052","348,052","1,818","2,129","2,314","2,432","2,390","2,315","2,542","2,335","2,390","2,231","2,376","2,477","2,248","2,130","2,312","2,466","2,487","2,797","3,413","3,827","4,338","4,622","5,109","5,642","6,029","5,959","6,205","5,931","5,366","5,088","5,012","4,780","4,904","4,912","4,915","5,455","5,819","5,840","5,590","5,562","4,687","5,035","4,895","5,076","5,257","5,519","5,681","5,976","5,830","5,774","5,703","5,388","5,153","5,440","5,336","5,088","5,553","5,876","6,096","5,790","5,388","5,414","4,862","5,243","4,494","3,899","4,350","2,994","3,347","3,301","3,422","3,490","2,871","2,631","2,621","2,700","3,102","2,484","2,139","2,048","1,765","1,561","1,367","1,205","1,070","842","719","542","442","399","333","297","197","121","120","110","88","56","64","35","259"
"서울특별시 중랑구 (1126000000)","403,209","403,209","2,274","2,436","2,691","2,802","2,605","2,714","2,865","2,731","2,644","2,531","2,639","2,731","2,565","2,425","2,702","2,876","2,967","3,415","4,125","4,144","4,358","4,914","5,224","5,723","6,028","6,208","6,733","6,366","6,038","5,898","5,911","5,839","5,891","5,872","5,868","6,254","6,724","6,745","6,685","6,388","5,207","5,615","5,351","5,472","5,961","6,334","6,506","7,107","6,823","7,160","7,229","6,901","6,575","6,929","7,077","6,651","7,502","7,849","7,866","7,429","6,725","6,660","6,148","6,393","5,442","4,675","5,063","3,584","3,875","3,898","3,868","3,979","3,144","2,752","2,816","2,728","3,234","2,621","2,115","2,072","1,767","1,540","1,337","1,221","1,022","820","668","556","449","403","360","258","183","144","113","102","84","54","44","30","169"
"서울특별시 성북구 (1129000000)","435,868","435,868","2,150","2,537","2,994","3,158","3,183","3,187","3,600","3,607","3,577","3,330","3,560","3,871","3,454","3,386","3,785","3,848","3,858","4,268","4,831","5,225","5,515","5,893","6,191","6,652","6,908","6,853","7,053","6,756","6,026","5,743","5,634","5,551","5,592","5,673","5,619","6,354","6,758","7,075","6,844","6,908","5,913","6,332","6,497","6,806","7,513","7,810","8,035","8,452","8,024","7,877","7,655","7,008","6,418","6,672","6,688","6,288","6,731","6,924","7,258","6,705","6,327","6,334","5,832","6,020","5,096","4,547","5,043","3,463","3,941","4,017","3,946","4,098","3,413","3,002","3,109","3,130","3,731","3,004","2,508","2,537","2,154","1,870","1,648","1,566","1,231","973","839","696","607","513","428","359","242","170","130","123","96","72","51","57","332"
"서울특별시 강북구 (1130500000)","319,164","319,164","1,302","1,669","1,833","1,900","1,885","1,968","2,112","2,074","2,111","2,067","2,081","2,224","2,111","2,041","2,266","2,488","2,462","2,854","3,314","3,420","3,683","4,040","4,217","4,462","4,740","4,669","5,054","4,766","4,126","4,085","3,966","3,827","3,913","3,944","3,997","4,492","4,822","4,777","4,833","4,875","4,072","4,449","4,381","4,582","5,123","5,390","5,453","5,858","5,729","5,624","5,679","5,304","4,818","5,316","5,163","5,103","5,502","5,695","6,057","5,633","5,204","5,205","4,777","5,073","4,401","3,807","4,219","3,138","3,445","3,568","3,626","3,706","2,956","2,713","2,770","2,758","3,404","2,702","2,171","2,048","1,777","1,544","1,407","1,225","907","749","650","492","431","392","310","242","158","140","109","97","79","63","39","32","229"
