"행정구역","2016년_계_총인구수","2016년_계_연령구간인구수","2016년_계_0세","2016년_계_1세","2016년_계_2세","2016년_계_3세","2016년_계_4세","2016년_계_5세","2016년_계_6세","2016년_계_7세","2016년_계_8세","2016년_계_9세","2016년_계_10세","2016년_계_11세","2016년_계_12세","2016년_계_13세","2016년_계_14세","2016년_계_15세","2016년_계_16세","2016년_계_17세","2016년_계_18세","2016년_계_19세","2016년_계_20세","2016년_계_21세","2016년_계_22세","2016년_계_23세","2016년_계_24세","2016년_계_25세","2016년_계_26세","2016년_계_27세","2016년_계_28세","2016년_계_29세","2016년_계_30세","2016년_계_31세","2016년_계_32세","2016년_계_33세","2016년_계_34세","2016년_계_35세","2016년_계_36세","2016년_계_37세","2016년_계_38세","2016년_계_39세","2016년_계_40세","2016년_계_41세","2016년_계_42세","2016년_계_43세","2016년_계_44세","2016년_계_45세","2016년_계_46세","2016년_계_47세","2016년_계_48세","2016년_계_49세","2016년_계_50세","2016년_계_51세","2016년_계_52세","2016년_계_53세","2016년_계_54세","2016년_계_55세","2016년_계_56세","2016년_계_57세","2016년_계_58세","2016년_계_59세","2016년_계_60세","2016년_계_61세","2016년_계_62세","2016년_계_63세","2016년_계_64세","2016년_계_65세","2016년_계_66세","2016년_계_67세","2016년_계_68세","2016년_계_69세","2016년_계_70세","2016년_계_71세","2016년_계_72세","2016년_계_73세","2016년_계_74세","2016년_계_75세","2016년_계_76세","2016년_계_77세","2016년_계_78세","2016년_계_79세","2016년_계_80세","2016년_계_81세","2016년_계_82세","2016년_계_83세","2016년_계_84세","2016년_계_85세","2016년_계_86세","2016년_계_87세","2016년_계_88세","2016년_계_89세","2016년_계_90세","2016년_계_91세","2016년_계_92세","2016년_계_93세","2016년_계_94세","2016년_계_95세","2016년_계_96세","2016년_계_97세","2016년_계_98세","2016년_계_99세","2016년_계_100세 이상"
"전국  (0000000000)","51,696,216","51,696,216","393,674","441,720","439,207","440,530","489,140","475,817","473,401","448,049","468,712","495,918","449,851","436,439","474,372","493,970","495,347","560,014","639,783","620,107","639,836","671,319","685,246","707,800","713,499","709,775","724,741","702,099","640,053","631,162","626,102","617,951","628,249","653,447","662,753","749,557","823,862","842,279","839,113","829,685","724,012","781,183","764,577","792,564","860,953","896,518","897,631","945,524","920,661","926,343","928,518","863,764","817,907","853,001","834,857","794,455","882,172","915,541","923,841","852,740","778,724","771,423","696,051","720,230","612,012","528,168","582,615","424,251","451,649","455,822","451,417","454,206","360,660","320,820","341,109","341,431","417,209","340,356","298,017","303,630","269,899","245,988","226,441","211,291","182,857","152,230","136,311","108,646","96,441","84,464","69,702","56,911","40,825","33,432","24,961","24,106","18,164","12,132","8,766","6,199","4,286","3,461","17,562"
"서울특별시  (1100000000)","9,930,616","9,930,616","70,798","76,955","74,874","73,373","80,575","76,864","77,045","72,626","76,968","81,236","75,032","72,584","80,747","83,494","83,929","93,942","109,021","105,498","110,501","119,457","124,384","131,324","137,974","143,570","153,476","156,688","148,170","148,420","150,832","147,863","150,266","153,975","152,964","168,317","177,985","177,958","173,622","169,579","142,893","153,415","150,185","152,306","164,654","170,558","174,048","183,494","177,412","174,932","170,766","159,817","147,088","156,684","156,280","149,347","161,060","166,057","172,023","161,051","150,331","150,116","136,764","144,313","121,914","107,645","116,678","81,961","91,255","92,072","90,835","92,833","75,089","65,982","66,730","65,391","77,388","62,084","52,772","51,775","44,952","40,378","36,169","33,524","27,914","23,338","20,704","16,809","14,956","13,516","11,429","9,357","6,907","5,522","4,324","4,229","3,171","2,312","1,793","1,239","913","801","5,475"
"부산광역시  (2600000000)","3,498,529","3,498,529","23,906","26,766","26,409","26,100","28,863","27,971","27,394","25,249","26,417","28,012","25,147","24,762","27,141","28,852","28,991","33,282","38,088","37,607","39,588","41,752","44,836","46,832","48,753","49,096","50,489","48,356","42,718","42,764","41,303","40,052","40,009","41,212","42,126","47,864","52,528","55,259","55,434","54,109","46,250","48,725","46,478","49,745","53,549","56,052","56,591","59,226","58,903","59,495","60,354","57,935","54,032","56,479","55,649","55,475","63,568","67,539","69,709","64,824","61,010","62,115","57,100","60,930","51,077","45,059","48,559","38,947","38,288","39,045","38,503","36,943","29,070","24,696","27,892","27,727","30,984","25,791","22,829","21,997","18,619","16,978","15,191","13,830","11,900","9,641","8,788","7,099","5,847","5,319","4,514","3,704","2,484","2,086","1,497","1,315","1,002","661","480","343","248","221","1,585"
"대구광역시  (2700000000)","2,484,557","2,484,557","17,761","19,725","19,761","19,796","22,155","21,558","21,519","20,278","21,385","23,098","20,941","21,064","22,841","24,851","24,352","28,463","32,653","31,809","32,486","34,667","35,449","36,992","36,553","35,763","35,874","34,076","30,375","29,819","27,659","27,367","27,395","28,200","28,185","32,658","36,202","37,516","37,474","37,654","32,449","36,035","35,877","38,170","40,875","43,017","44,194","45,964","45,323","46,057","47,362","44,983","41,253","43,252","42,427","40,075","45,069","46,752","44,594","44,025","36,641","38,127","34,839","35,264","29,333","27,486","29,839","22,773","22,500","23,386","23,192","21,570","15,515","13,978","16,546","17,142","19,558","16,005","13,955","14,316","12,276","11,244","10,177","9,494","8,379","6,687","6,124","4,792","3,876","3,244","2,858","2,303","1,595","1,323","922","789","608","430","294","208","132","119","591"
"인천광역시  (2800000000)","2,943,069","2,943,069","22,961","26,208","26,160","26,158","28,893","28,318","27,885","26,525","27,298","29,104","25,818","25,086","26,873","28,435","27,961","31,716","35,893","35,073","36,176","38,462","39,540","41,369","42,292","43,234","44,492","43,496","39,467","38,452","37,585","36,695","37,112","38,838","39,341","44,594","49,285","51,118","50,383","49,887","43,396","46,189","44,312","46,748","49,791","52,323","52,531","54,395","53,288","53,944","54,331","50,511","48,404","51,966","51,502","48,770","53,994","54,560","54,640","49,482","45,619","43,650","38,102","38,900","32,300","27,217","29,766","19,366","21,931","22,478","21,876","22,362","18,081","15,432","15,695","15,757","18,702","15,096","12,917","13,265","12,064","10,600","10,082","9,311","7,951","6,811","6,044","4,851","4,450","3,960","3,254","2,642","1,933","1,636","1,284","1,128","818","615","431","299","205","174","754"
"광주광역시  (2900000000)","1,469,214","1,469,214","11,236","12,628","13,096","13,246","15,159","14,690","15,177","14,492","14,972","16,261","14,717","14,362","15,791","17,073","16,873","19,442","22,355","21,561","22,344","23,086","22,965","23,785","22,998","21,884","21,702","19,931","17,712","17,152","16,616","16,657","16,913","17,664","18,517","21,206","23,613","23,472","23,567","24,102","21,122","23,219","23,016","22,970","25,929","26,164","26,356","27,422","26,964","25,634","26,922","24,576","23,818","23,811","22,271","22,375","22,345","22,737","24,516","22,094","19,614","19,333","16,366","17,331","14,398","12,375","13,947","11,262","11,751","12,272","11,259","11,907","9,465","8,412","8,404","7,742","10,742","8,428","7,090","6,950","6,290","5,771","4,949","4,805","4,307","3,424","3,042","2,463","2,378","2,102","1,556","1,344","966","780","524","595","412","296","210","146","104","69","355"
"대전광역시  (3000000000)","1,514,370","1,514,370","12,097","13,752","13,582","13,759","15,022","14,829","14,639","13,908","14,754","15,734","14,363","13,918","15,416","15,930","15,935","17,943","20,279","19,834","20,602","21,696","22,150","23,013","22,899","22,412","22,731","21,900","20,025","19,388","19,333","18,945","19,213","19,663","19,574","22,164","24,229","24,628","24,494","24,002","21,722","23,190","23,015","23,620","25,685","27,357","26,663","28,356","27,456","28,223","28,330","25,560","23,354","24,367","24,117","21,728","25,523","26,758","26,385","23,918","21,227","21,734","19,796","19,770","17,217","13,963","15,013","11,175","12,269","11,859","11,620","10,968","8,719","8,009","8,472","8,283","10,233","8,157","6,539","7,210","6,422","5,731","5,358","4,905","4,324","3,671","3,269","2,611","2,274","1,937","1,711","1,424","899","806","597","598","409","284","191","146","107","73","308"
"울산광역시  (3100000000)","1,172,304","1,172,304","10,520","11,646","11,538","11,391","12,472","11,901","11,753","11,147","11,476","12,077","10,679","10,379","11,056","11,713","11,528","13,577","15,586","15,471","16,066","16,657","16,896","17,398","17,156","16,807","16,677","16,409","14,597","14,702","14,178","13,884","14,275","14,861","15,392","17,548","19,613","20,106","20,298","19,659","17,061","18,331","17,336","17,966","19,413","20,334","20,612","21,994","21,837","22,300","23,079","21,964","21,254","22,061","20,812","19,472","21,723","22,543","21,767","19,935","18,162","17,366","15,632","15,657","12,806","11,435","11,595","8,926","8,776","8,277","8,275","7,601","5,632","4,808","5,391","5,431","6,202","4,640","4,249","4,191","3,613","3,204","2,907","2,668","2,427","2,039","1,812","1,417","1,186","1,102","927","729","520","451","325","293","224","142","101","71","38","35","138"
"세종특별자치시  (3600000000)","243,048","243,048","3,219","3,448","3,258","3,397","3,722","3,627","3,682","3,530","3,551","3,477","3,155","2,905","3,027","2,948","2,641","2,638","2,773","2,460","2,273","2,305","2,340","2,530","2,612","2,487","2,795","2,735","2,584","2,633","2,849","2,958","3,200","3,566","3,802","4,358","5,267","5,286","5,298","5,486","4,641","5,047","4,906","4,788","5,070","4,922","4,607","4,775","4,115","3,907","3,824","3,274","2,995","3,108","3,009","2,712","3,103","3,270","3,169","2,844","2,603","2,627","2,360","2,536","2,177","1,734","1,906","1,422","1,608","1,566","1,448","1,402","1,114","1,018","1,116","1,096","1,419","1,155","993","1,046","960","876","842","784","710","622","543","447","401","343","300","227","169","135","103","89","80","57","18","16","13","10","49"
"경기도  (4100000000)","12,716,780","12,716,780","104,099","119,264","119,772","120,371","134,576","131,257","130,885","124,285","130,186","136,415","124,326","118,363","128,505","132,368","131,177","146,505","166,378","159,345","162,892","169,656","170,397","175,574","177,371","176,890","181,250","176,716","160,462","157,570","157,033","153,987","156,560","165,037","167,692","191,453","211,984","220,801","221,040","219,742","192,287","209,350","205,735","212,488","229,717","237,621","238,733","249,826","241,261","241,126","237,855","218,168","207,290","215,673","211,392","195,612","214,848","217,681","216,769","195,715","179,932","171,046","152,144","154,680","130,194","110,480","122,498","79,621","89,296","89,383","89,719","92,205","75,344","66,906","67,803","67,094","79,996","66,422","57,844","58,088","52,661","47,991","43,957","40,989","34,980","29,128","26,041","20,680","18,550","16,593","13,469","10,953","8,195","6,648","5,083","4,755","3,714","2,467","1,771","1,269","884","671","3,305"
"강원도  (4200000000)","1,550,806","1,550,806","9,810","11,100","10,999","11,379","12,931","12,810","12,935","12,534","12,855","14,028","12,703","12,936","13,888","14,338","15,063","16,776","19,205","18,725","19,388","20,379","20,435","20,773","20,839","20,737","20,888","18,807","16,504","15,620","15,403","14,863","15,137","15,773","15,587","18,162","19,982","20,235","20,516","20,510","19,258","20,247","20,211","21,530","23,949","25,343","24,605","25,951","25,768","26,687","27,326","25,002","25,096","24,593","24,938","24,732","28,261","30,139","30,285","28,986","27,258","27,439","24,414","24,630","21,995","18,301","22,157","12,530","13,641","13,976","14,996","15,692","13,618","13,443","13,829","13,739","15,991","14,071","13,183","12,852","11,822","10,234","9,524","8,497","7,168","6,010","5,117","4,368","4,191","3,511","3,003","2,399","1,818","1,613","1,226","1,112","758","516","375","302","193","178","656"
"충청북도  (4300000000)","1,591,625","1,591,625","12,454","13,491","13,393","13,608","15,097","14,818","14,795","13,968","14,498","15,423","13,866","13,573","14,772","15,131","15,632","17,686","19,903","19,574","20,362","21,296","21,559","21,925","21,608","21,492","21,127","19,709","17,969","17,647","17,507","17,591","17,936","18,480","19,104","21,033","23,554","23,232","23,208","23,235","20,523","22,285","22,254","22,970","25,447","26,556","25,081","26,952","26,523","28,786","28,412","26,656","25,669","26,534","25,030","22,934","28,205","30,497","28,315","26,777","25,333","25,540","22,958","22,688","19,891","17,238","19,625","12,965","13,316","13,676","13,894","13,985","11,080","10,917","11,509","11,764","15,048","12,140","10,501","11,599","10,052","9,507","9,059","8,577","7,274","6,199","5,184","3,960","3,719","3,202","2,584","2,130","1,490","1,270","905","818","678","463","283","208","153","110","471"
"충청남도  (4400000000)","2,096,727","2,096,727","16,934","18,931","18,770","19,255","21,162","20,767","20,517","19,457","20,223","21,190","19,250","18,439","19,699","20,066","20,133","23,028","25,790","24,656","25,439","25,859","26,243","26,249","25,917","25,419","25,729","24,056","22,760","22,631","23,399","23,895","24,249","25,049","25,500","29,397","32,896","33,108","32,900","31,979","28,853","30,604","30,148","30,459","33,448","34,899","32,869","36,363","33,886","35,494","35,555","32,600","29,755","32,283","32,598","29,032","34,016","36,969","36,768","33,029","29,971","29,701","27,401","29,449","25,506","20,760","23,262","18,654","20,562","20,396","20,037","19,798","15,253","13,704","15,909","15,743","21,340","16,747","14,254","16,458","15,270","14,131","13,792","13,050","11,346","9,536","8,887","6,550","5,564","4,916","4,206","3,239","2,381","1,943","1,418","1,322","1,059","693","462","350","227","173","738"
"전라북도  (4500000000)","1,864,791","1,864,791","12,433","14,370","14,538","15,037","16,724","16,821","16,811","15,929","16,809","17,900","16,250","16,340","17,580","18,438","19,160","21,647","24,536","23,760","24,920","24,990","25,750","26,189","25,572","23,914","23,242","21,462","19,175","18,416","18,025","17,591","18,127","18,817","19,551","21,896","24,290","24,588","25,064","24,866","23,040","25,412","24,713","25,742","29,740","30,170","30,028","32,265","30,827","30,580","32,089","29,430","29,119","29,719","28,450","27,499","30,729","32,306","35,007","30,967","27,166","28,313","25,512","27,660","24,345","19,543","21,689","18,674","21,387","19,726","18,873","21,284","16,782","13,916","14,570","14,773","22,347","16,820","14,037","15,493","14,147","13,071","12,245","11,984","10,402","8,964","7,703","6,306","5,445","4,709","4,085","3,476","2,208","1,557","1,263","1,366","1,076","590","474","352","230","171","697"
