,1차 산업,제조업,자원,건설업,도매 및 소매업,숙박 및 음식점,"운수 및 창고업, 임대",서비스업,부동산업,정보통신업,달리 분류되지 않은 개인 서비스업
2019-06,4077,94922,1984,73332,84162,8717,16040,67345,21420,15850,1394
2019-07,4040,95133,1994,73818,84459,8796,16021,67507,21474,15953,1390
2019-08,4045,95239,1988,74842,84578,8908,16037,67825,21708,16012,1393
2019-09,4046,95278,1996,74300,84710,8982,15983,67922,21624,16035,1403
2019-10,4064,95612,2018,75338,85002,9087,15992,68363,21835,16160,1421
2019-11,4062,95804,2025,76611,85324,9203,16003,68648,21986,16202,1433
2019-12,4083,95805,2024,75725,85575,9288,16027,68744,21249,16248,1445
2020-01,4015,95659,2021,74255,85337,9224,15975,68423,20127,16193,1447
2020-02,4075,96255,2031,75117,86105,9322,15987,69276,20886,16347,1469
2020-03,4114,96372,2043,75675,86108,9202,15788,69400,21300,16420,1477
2020-04,4143,96592,2049,77282,86201,9009,15656,69541,21918,16498,1482
2020-05,4157,96396,2057,77819,86239,9044,15556,69646,22087,16566,1501
2020-06,4177,96653,2059,78648,86520,9090,15542,69989,22361,16656,1525
2020-07,4168,96945,2091,78834,86872,9203,15580,70457,22120,16818,1539
2020-08,4165,97162,2070,79747,87147,9302,15525,70721,22291,16982,1543
2020-09,4193,97695,2081,80962,87435,9280,15401,71151,22768,17090,1541
2020-10,4175,97693,2075,81117,87525,9257,15291,71364,22897,17218,1545
2020-11,4168,97913,2072,81923,87807,9320,15164,71803,23132,17389,1573
2020-12,4193,98326,2061,81963,88200,9348,15028,72197,22299,17610,1597
2021-01,4161,98045,2074,79915,88079,9048,14834,71827,20713,17702,1562
2021-02,4219,98827,2110,80633,88821,9006,14932,72717,21861,17951,1592
2021-03,4293,98850,2116,81064,88748,9048,14889,73084,22175,18070,1592
2021-04,4428,99353,2141,83428,89345,9158,14948,73844,22901,18292,1625
2021-05,4475,99489,2154,83995,89583,9236,14966,74316,22917,18450,1650
2021-06,4497,99748,2154,84558,89885,9282,14983,74882,23131,18586,1672
