,강원도,경기도,경상남도,경상북도,광주광역시,대구광역시,대전광역시,부산광역시,서울특별시,세종특별자치시,울산광역시,인천광역시,전라남도,전라북도,제주특별자치도,충청남도,충청북도
0,12809.0,119816.0,26327.0,23582.0,11825.0,15320.0,11192.0,26435.0,116608.0,2447.0,8248.0,21674.0,18009.0,15260.0,6746.0,19754.0,15611.0
1,12601.0,119004.0,26194.0,23104.0,11895.0,15280.0,11051.0,26117.0,116534.0,2489.0,8113.0,21429.0,17678.0,15199.0,6757.0,19349.0,15381.0
2,12847.0,120237.0,26487.0,23522.0,11941.0,15499.0,11297.0,26568.0,117092.0,2450.0,8250.0,21732.0,17977.0,15511.0,6879.0,19714.0,15743.0
3,13173.0,120641.0,26618.0,23890.0,12034.0,15446.0,11286.0,26403.0,117729.0,2527.0,8247.0,21790.0,18263.0,15752.0,6862.0,19839.0,15910.0
4,13303.0,121398.0,26580.0,24011.0,11992.0,15453.0,11502.0,26483.0,118087.0,2500.0,8264.0,21983.0,18920.0,15885.0,6987.0,20192.0,16205.0
5,13543.0,121808.0,26703.0,23981.0,12018.0,15564.0,11398.0,26341.0,118622.0,2479.0,8173.0,22012.0,18887.0,15958.0,7038.0,19900.0,16094.0
6,13454.0,122945.0,26720.0,24038.0,12103.0,15625.0,11620.0,26690.0,119171.0,2530.0,8203.0,22223.0,18815.0,15865.0,7020.0,20069.0,16074.0
7,13342.0,122445.0,26621.0,23677.0,12092.0,15580.0,11357.0,26588.0,119197.0,2471.0,8166.0,22137.0,18430.0,15888.0,6947.0,19906.0,16042.0
8,13554.0,123796.0,26654.0,24040.0,12241.0,15666.0,11510.0,26667.0,119605.0,2629.0,8222.0,22269.0,18654.0,16083.0,7033.0,20119.0,16186.0
9,13645.0,124769.0,27058.0,24243.0,12271.0,15738.0,11479.0,26951.0,120208.0,2872.0,8296.0,22442.0,18801.0,16177.0,7096.0,20470.0,16519.0
10,13934.0,124813.0,27258.0,24437.0,12347.0,15672.0,11543.0,26993.0,120160.0,2747.0,8356.0,22509.0,19039.0,16569.0,7163.0,20492.0,16628.0
11,14057.0,126272.0,27604.0,25100.0,12533.0,16018.0,11721.0,27488.0,121214.0,2674.0,8555.0,22695.0,19496.0,16832.0,7434.0,20847.0,16916.0
12,13383.0,125959.0,27281.0,24691.0,12573.0,15941.0,11544.0,27217.0,121174.0,2640.0,8497.0,22622.0,19312.0,16299.0,7145.0,20459.0,16371.0
13,13244.0,124981.0,26780.0,24407.0,12557.0,15881.0,11456.0,26982.0,120764.0,2603.0,8355.0,22427.0,18797.0,15979.0,7043.0,19929.0,16101.0
14,13575.0,126402.0,27355.0,24246.0,12690.0,15927.0,11602.0,27359.0,122284.0,2682.0,8432.0,22760.0,19171.0,16430.0,7319.0,20399.0,16376.0
15,13856.0,126796.0,27523.0,24694.0,12576.0,15864.0,11701.0,27211.0,122058.0,2706.0,8447.0,22881.0,19208.0,16396.0,7291.0,20474.0,16650.0
16,14047.0,127411.0,27539.0,25135.0,12551.0,15960.0,11816.0,27253.0,122044.0,2783.0,8430.0,22936.0,19932.0,16780.0,7394.0,20935.0,16997.0
17,14236.0,128115.0,28025.0,24999.0,12709.0,16059.0,12021.0,27391.0,122865.0,2787.0,8578.0,22952.0,20183.0,16750.0,7545.0,21148.0,16943.0
