,1차 산업,제조업,자원,건설업,도매 및 소매업,숙박 및 음식점,"운수 및 창고업, 임대",서비스업,부동산업,정보통신업,달리 분류되지 않은 개인 서비스업
2019_07,4360,96354,2013,90136,85507,8973,16406,68499,22307,16065,1422
2019_08,4587,96765,2056,90958,85998,9100,16391,69019,22668,16221,1424
2019_09,4546,96954,2026,93014,86122,9219,16374,69147,22482,16292,1422
2019_10,4497,96789,2032,90771,86063,9227,16300,69228,22441,16269,1416
2019_11,4357,97021,2050,90832,86232,9364,16259,69563,22772,16427,1433
2019_12,4324,97267,2066,93816,86788,9498,16313,69931,23286,16470,1456
2020_01,4384,97419,2080,94410,87118,9549,16327,70175,23693,16569,1468
2020_02,4299,97563,2092,98803,87054,9549,16279,70176,22531,16486,1486
2020_03,4280,98137,2095,95563,87712,9663,16263,70806,21807,16667,1502
2020_04,4252,97756,2092,90539,87285,9484,16061,70578,22065,16636,1505
2020_05,4289,98060,2092,90175,87761,9347,16030,70907,22962,16825,1509
2020_06,4309,97887,2112,92238,87632,9349,15931,71043,23209,16869,1529
2020_07,4397,98202,2107,96998,87859,9370,15818,71149,23296,16918,1556
2020_08,4468,98548,2157,96382,88359,9523,15880,71804,23503,17115,1572
2020_09,4393,98870,2120,97621,88493,9595,15878,71936,23224,17221,1570
2020_10,4366,99264,2128,96908,88856,9580,15686,72393,23820,17363,1576
2020_11,4349,99193,2110,97094,88832,9549,15539,72518,23912,17456,1564
2020_12,4315,99477,2119,99178,89089,9564,15506,72933,24609,17614,1595
2021_01,4396,99851,2105,99283,89506,9652,15265,73496,25230,17872,1615
2021_02,4423,100204,2155,106869,89829,9396,15233,73561,23566,18007,1601
2021_03,4396,100755,2187,101246,90419,9317,15329,74214,22797,18263,1619
2021_04,4444,100285,2164,94070,90049,9293,15109,74230,23008,18316,1635
2021_05,4636,101057,2201,98007,90810,9471,15214,75208,24361,18564,1656
2021_06,4727,101065,2215,98948,90906,9544,15271,75627,24298,18726,1673
2021_07,4860,101225,2200,103114,91207,9577,15297,76121,24095,18882,1696
