"@timestamp","@version","@version.keyword","_id","_index","_score","_type",client,"client.keyword","hashtags.indices","hashtags.text","hashtags.text.keyword","in-reply-to",message,"message.keyword",retweeted,source,"source.keyword",urls,"urls.keyword",user,"user.keyword","user_mentions.id","user_mentions.id_str","user_mentions.id_str.keyword","user_mentions.indices","user_mentions.name","user_mentions.name.keyword","user_mentions.screen_name","user_mentions.screen_name.keyword"
"Nov 1, 2021 @ 22:18:11.000",1,1,1jCm23wBtA8X4oc1i4mN,"kmovie_short","-","_doc","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","-","-","-","-","RT @JungkookPub: Korean Netizens strongly call Jungkook to star as a leading actor in a movie, following the teaser of BTS's 2022 Se… https://t.co/XdGQwE3eVX","RT @JungkookPub: Korean Netizens strongly call Jungkook to star as a leading actor in a movie, following the teaser of BTS's 2022 Se… https://t.co/XdGQwE3eVX",false,"http://twitter.com/mjcedeno26/status/1455162253984944135","http://twitter.com/mjcedeno26/status/1455162253984944135","-","-",mjcedeno26,mjcedeno26,"1,418,910,685,925,347,328",1418910685925347332,1418910685925347332,"3, 15","방탄소년단정국's Publicity","방탄소년단정국's Publicity",JungkookPub,JungkookPub
"Nov 1, 2021 @ 22:17:34.000",1,1,"1TCl23wBtA8X4oc1-4mA","kmovie_short","-","_doc","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","-","-","-","-","RT @JungkookPub: Korean Netizens strongly call Jungkook to star as a leading actor in a movie, following the teaser of BTS's 2022 Se… https://t.co/XdGQwE3eVX","RT @JungkookPub: Korean Netizens strongly call Jungkook to star as a leading actor in a movie, following the teaser of BTS's 2022 Se… https://t.co/XdGQwE3eVX",false,"http://twitter.com/itboysjjk/status/1455162099722645510","http://twitter.com/itboysjjk/status/1455162099722645510","-","-",itboysjjk,itboysjjk,"1,418,910,685,925,347,328",1418910685925347332,1418910685925347332,"3, 15","방탄소년단정국's Publicity","방탄소년단정국's Publicity",JungkookPub,JungkookPub
"Nov 1, 2021 @ 22:17:33.000",1,1,1DCl23wBtA8X4oc19okZ,"kmovie_short","-","_doc","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","-","-","-","-","RT @JungkookPub: Korean Netizens strongly call Jungkook to star as a leading actor in a movie, following the teaser of BTS's 2022 Se… https://t.co/XdGQwE3eVX","RT @JungkookPub: Korean Netizens strongly call Jungkook to star as a leading actor in a movie, following the teaser of BTS's 2022 Se… https://t.co/XdGQwE3eVX",false,"http://twitter.com/MChrizyll/status/1455162093909385226","http://twitter.com/MChrizyll/status/1455162093909385226","-","-",MChrizyll,MChrizyll,"1,418,910,685,925,347,328",1418910685925347332,1418910685925347332,"3, 15","방탄소년단정국's Publicity","방탄소년단정국's Publicity",JungkookPub,JungkookPub
"Nov 1, 2021 @ 22:17:04.000",1,1,0zCl23wBtA8X4oc1hYlJ,"kmovie_short","-","_doc","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","-","-","-","-","RT @JungkookPub: Korean Netizens strongly call Jungkook to star as a leading actor in a movie, following the teaser of BTS's 2022 Se… https://t.co/XdGQwE3eVX","RT @JungkookPub: Korean Netizens strongly call Jungkook to star as a leading actor in a movie, following the teaser of BTS's 2022 Se… https://t.co/XdGQwE3eVX",false,"http://twitter.com/Carolin72188974/status/1455161972719292422","http://twitter.com/Carolin72188974/status/1455161972719292422","-","-",Carolin72188974,Carolin72188974,"1,418,910,685,925,347,328",1418910685925347332,1418910685925347332,"3, 15","방탄소년단정국's Publicity","방탄소년단정국's Publicity",JungkookPub,JungkookPub
"Nov 1, 2021 @ 22:16:05.000",1,1,0jCk23wBtA8X4oc1nolV,"kmovie_short","-","_doc","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","-","-","-","-","RT @JungkookPub: Korean Netizens strongly call Jungkook to star as a leading actor in a movie, following the teaser of BTS's 2022 Se… https://t.co/XdGQwE3eVX","RT @JungkookPub: Korean Netizens strongly call Jungkook to star as a leading actor in a movie, following the teaser of BTS's 2022 Se… https://t.co/XdGQwE3eVX",false,"http://twitter.com/blackheartlov11/status/1455161724785475597","http://twitter.com/blackheartlov11/status/1455161724785475597","-","-",blackheartlov11,blackheartlov11,"1,418,910,685,925,347,328",1418910685925347332,1418910685925347332,"3, 15","방탄소년단정국's Publicity","방탄소년단정국's Publicity",JungkookPub,JungkookPub
"Nov 1, 2021 @ 22:15:50.000",1,1,0TCk23wBtA8X4oc1Yonz,"kmovie_short","-","_doc","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","-","-","-","-","RT @ihugbabykoo: Omg omg omg 😭😭😭","RT @ihugbabykoo: Omg omg omg 😭😭😭",false,"http://twitter.com/Arohisarma6/status/1455161660868476933","http://twitter.com/Arohisarma6/status/1455161660868476933","-","-",Arohisarma6,Arohisarma6,"1,447,642,901,106,749,440",1447642901106749440,1447642901106749440,"3, 15","xael⁷ ♡s 국","xael⁷ ♡s 국",ihugbabykoo,ihugbabykoo
"Nov 1, 2021 @ 22:15:15.000",1,1,0DCj23wBtA8X4oc124k1,"kmovie_short","-","_doc","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","-","-","-","-","binge watching zombie theme korean movie. kelangan natin ma divert isip ko sa ibang bagay 🥲","binge watching zombie theme korean movie. kelangan natin ma divert isip ko sa ibang bagay 🥲",false,"http://twitter.com/monica__131/status/1455161515347111936","http://twitter.com/monica__131/status/1455161515347111936","-","-","monica__131","monica__131","-","-","-","-","-","-","-","-"
"Nov 1, 2021 @ 22:15:11.000",1,1,zzCj23wBtA8X4oc1yomX,"kmovie_short","-","_doc","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","-","-","-","-","RT @JungkookPub: Korean Netizens strongly call Jungkook to star as a leading actor in a movie, following the teaser of BTS's 2022 Se… https://t.co/XdGQwE3eVX","RT @JungkookPub: Korean Netizens strongly call Jungkook to star as a leading actor in a movie, following the teaser of BTS's 2022 Se… https://t.co/XdGQwE3eVX",false,"http://twitter.com/Angelskookik/status/1455161497433214983","http://twitter.com/Angelskookik/status/1455161497433214983","-","-",Angelskookik,Angelskookik,"1,418,910,685,925,347,328",1418910685925347332,1418910685925347332,"3, 15","방탄소년단정국's Publicity","방탄소년단정국's Publicity",JungkookPub,JungkookPub
"Nov 1, 2021 @ 22:14:23.000",1,1,zjCj23wBtA8X4oc1D4ms,"kmovie_short","-","_doc","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","-","-","-","-","RT @jpegdocu: Bila local film ni hauk. Org kita akan cari replacement utk isi kosong tu. Thats explain why our people rather watc… https://t.co/m219gk33OV","RT @jpegdocu: Bila local film ni hauk. Org kita akan cari replacement utk isi kosong tu. Thats explain why our people rather watc… https://t.co/m219gk33OV",false,"http://twitter.com/acapzhd/status/1455161296660283396","http://twitter.com/acapzhd/status/1455161296660283396","-","-",acapzhd,acapzhd,"757,084,137,744,281,600",757084137744281601,757084137744281601,"3, 12",JPGfinal,JPGfinal,jpegdocu,jpegdocu
"Nov 1, 2021 @ 22:14:09.000",1,1,zTCi23wBtA8X4oc12Yk1,"kmovie_short","-","_doc","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","-","-","-","-","RT @kookdoeeyes7: Imagine if we get an action star Jeon Jungkook 🔥🔥 breathtaking vibe 🔥❤️","RT @kookdoeeyes7: Imagine if we get an action star Jeon Jungkook 🔥🔥 breathtaking vibe 🔥❤️",false,"http://twitter.com/JkAceofKpop97/status/1455161237935853571","http://twitter.com/JkAceofKpop97/status/1455161237935853571","-","-",JkAceofKpop97,JkAceofKpop97,"1,368,737,375,883,526,144",1368737375883526144,1368737375883526144,"3, 16","moon♡ʲᵏ","moon♡ʲᵏ",kookdoeeyes7,kookdoeeyes7
