,country_eng_nm,country_iso_alp2,country_nm,field,koreanwave_cn,written_year
0,Ghana,GH,가나,드라마,<겨울연가>  <호텔리어>  <주몽>  <대장금>  <기･황후>  <육룡이나르샤>  <착한 남자>  <드림하이>등 약 209편의 우리 드라마가 현지방송국(TV3  GTV  Joy Prime)에서 방송된 바 있다. 현재 가나 중･고등학생  대학생들 사이에서 인터넷 을 통해 우리 드라마를 접하는 경우가 늘고 있으며  특히 <대장금>  <대조영> 등 의 작품이 좋은 반응을 보였다. 2019년도에는 <또 오해영>  <태양의 후예>  <발 효가족>  <순정에 반하다>  <화랑> 등 5편의 드라마가 현지방송국(TV3  GHONE TV  Joy Prime)을 통해 방영되었다.,2019.0
1,Ghana,GH,가나,영화,여러 차례의 한국영화 상영행사를 통해 <미녀는 괴로워> <식객>  <맨발의 꿈>  <광해>  <군도>  <수상한 그녀>  <관상>  <조작된 도시>  <조선명탐정>  <메 리크리스마스 미스터 모>  <스물> 등이 상영되었다. 2017년부터 2019년까지 매년 유동인구가 가장 많은 아크라 몰 실버버드 극장에서 한국주간행사의 일환으로 한국영화제를 개최하였다.,2019.0
2,Ghana,GH,가나,K-Pop,가나인들이 K-Pop을 접할 기회가 적은 만큼  K-Pop 장르가 잘 알려져 있지 않다. 다만  전 세계적인 인기를 누렸던 싸이의 ‘강남스타일’은 뮤직 비디오가 CF 배경화면으로 나오고 가나 가수가 번안곡을 부를 정도로 많은 인기를 얻었다.,2019.0
3,Ghana,GH,가나,한식,아직 현지인들에게 한국음식이 널리 알려져 있지 않다. 한국음식점은 수도인 아크라에 2개  우리 교민들이 주로 거주하는 테마(수도 아크라에서 1시간 거리)에 5개 있는데 한국인  중국인  한국음식을 먹어본 경험이 있는 타국 외교관  가나인 등이 주로 찾는다. 2017년 8월  2018년 6월  2019년 11월에는 가나인을 대상으로 하는 한식 콘테스트를 개최하였다.,2019.0
4,Ghana,GH,가나,태권도,가나 태권도협회(GTF) 중심으로 가나 전역에 100여개의 태권도 클럽이 운영 중이다. 2015~2017년간 매년 I Love Taekwondo Video Contest를 개최하여 태권도 대중화 및 태권도 용품 보급을 위해 노력하였고  매년 Korea Cup 태권도 대회를 개최하고 있다.,2019.0
5,Ghana,GH,가나,한국어,한국기업  종교단체의 활동  한국드라마 방송을 통하여 현지인의 한국어에 대한 관심이 증가하고 있고  중고차 상인  태권도 수련생  KOICA 연수생  한국정부장학생 등을 중심으로 한국어가 소개되고 있다. 아직까지 현지에서 한국어를배울 수 있는 기관이나 학교는 없으나  2018년 9월부터 KOICA 한국어 봉사단원이 가나대학교에 파견되어 대학생을 대상으로 한국어를 가르치고 있다.,2019.0
6,Gabon,GA,가봉,한국어,가봉 내에서 한국어에 대한 관심 및 학습 수요는 아직 많지 않은 상황이나 한국 드라마 및 K-Pop 등을 좋아하는 사람들이 인터넷 강의를 통해 한국어를 배우거나  수도 리브르빌에 소재한 한글학교를 찾아 한국어 수업을 듣고 있다.,2019.0
7,Gabon,GA,가봉,드라마,가봉 사람들이 즐겨 시청하고 있는 프랑스의 Canal+ 유료 위성방송에서 그간 <드림하이>  <별에서 온 그대>  <힐러> 등 수편의 한국 드라마가 방영되었으며  애니메이션으로는 국내 캐릭터 <몰랑> 및 한국-프랑스 합작 애니메이션 <미라큘러스-레이디버그와 블랙캣>도 방영된바 있다.,2019.0
8,Gabon,GA,가봉,영화,주가봉대사관이 최근 수년간 개최하고 있는 한국영화제를 통해 <국가대표>  <플랜맨>  <우리 생애 최고의 순간>  <끝까지 간다>  <터널>이 상영되었다. 매년 수백명의 관객들이 한국영화제에 참석하고 있다. 또한 한국 문화에 관심을 갖고 있는 가봉의 젊은층들은 인터넷을 통해 한국 영화와 드라마를 손쉽게 접하고 있다.,2019.0
9,Gabon,GA,가봉,K-Pop,가봉 사람들이 K-Pop을 자연스럽게 접할 기회가 많지 않은 상황에서 K-Pop이 널리 알려져 있지는 않으나  인터넷 등을 통해 K-Pop을 접한 일부 고등학생 및 대학생이 K-Pop 댄스 동호회를 결성하여 활동하고 있다.,2019.0
